recipient_name,year_reported,candidate_or_measure,corrected_name,committee_id,candidate_office_sought,support_or_oppose
City of San Diego Barrio Logan Coummunity Plan,2014,B: Referendum of a resolution related to Barrio Logan community plan update,B: Referendum of a resolution related to Barrio Logan community plan update,,,
Beth Saldana,2014,Beth Saldana ,Beth Saldana ,,Imperial Beach City Council,
Betty Yee,2014,Betty Yee,Betty Yee,,CA Controller,
Bill Baber,2014,Bill Baber,Bill Baber,,La Mesa City Council,
Blanca Lopez Brown for City Council 2014,2014,Blanca Lopez Brown,Blanca Lopez Brown for City Council 2014,1366106,San Diego City Council District 1,Support
Brian 'Barry' POLLARD FOR CITY COUNCIL 2013,2014,Brian 'Barry' POLLARD ,Brian 'Barry' POLLARD FOR CITY COUNCIL 2013,1354752,San Diego City Council District 4,Support
Bruce Williams for San Diego City Council 2014,2014,Bruce Williams,Bruce Williams for San Diego City Council 2014,1365113,San Diego City Council District 4,Support
"Building & Protecting a Strong California, A Coalition of Firefighters, Construction Workers & Realtors",2014,,"Building and Protecting a Strong California, A Coalition of Firefighters, Construction Workers and Realtors",1363266,,
City of San Diego Barrio Logan Community Plan,2014,C: Referendum of ordinances related to Barrio Logan community plan update,C: Referendum of ordinances related to Barrio Logan community plan update,,,
City of San Diego Barrio Logan Coummunity Plan,2014,C: Referendum of ordinances related to Barrio Logan community plan update,C: Referendum of ordinances related to Barrio Logan community plan update,,,
California Latino Caucus Leadership PAC,2014,,California Latino Caucus Leadership PCA,1321501,,
California Taxpayers Advocate,2014,,California Taxpayers Advocate,1327218,,
California Vote Project 2014,2014,,California Vote Project 2014 ,1307656,,
California Voter Project,2014,,California Voter Project,1363108,,
Carl DeMaio for Mayor 2013 Research Expense Settlement Fund,2014,Carl DeMaio,Carl DeMaio for Mayor 2013 Research Expense Settlement Fund,1360335,,Support
Carol Kim,2014,Carol Kim,Carol Kim,,San Diego City Council District 6,
Carol Kim for City Council 2014,2014,Carol Kim,Carol Kim for City Council 2014,1359070,San Diego City Council District 6,Support
Cate for Council 2014,2014,Chris Cate,Cate for Council 2014,1356881,San Diego City Council District 6,Support
Charles Sellers,2014,Charles Sellers ,Charles Sellers ,,Poway Unified School District Board,
"Public Service Coaltion - spons. by public safetey, building trades & retail workers orgs to support David Chui for Assembly 2014",2014,David Chiu,"Chiu for Assembly 2014, Public Service Coalition - Sponsored by Public Safety, Building Trades and Retail Workers Organizations to Support David",1371281,CA Assembly District 17,Support
Chris Cate,2014,Chris Cate,Chris Cate ,,San Diego City Council District 6,
Chris Ward for City Council 2016,2014,Chris Ward ,Chris Ward for City Council 2016,1360787,San Diego City Council District 3,Support
Chuck Lowery,2014,Chuck Lowery ,Chuck Lowery ,,Oceanside City Council,
"Citizens Against Career Insider Politician Bill Horn for Supervisor 2014, Sponsored by Service Employees International Union Local 221",2014,Bill Horn,"Citizens Against Career Insider Politician Bill Horn for Supervisor 2014, sponsored by Service Employees International Union Local 221",1298155,,Oppose
Citizens & Public Safety Proponents for Truth PAC,2014,,Citizens and Public Safety Proponents for Truth PAC,C00567487,,
CITIZENS FOR FAIRNESS & JOBS SUPPORTING CHRIS CATE FOR COUNCIL 2014,2014,Chris Cate,Citizens for Fairness & Jobs Supporting Chris Cate for Council 2014,1365589,San Diego City Council District 6,Support
Citizens for Fairness & Jobs Supporting Chris Cate for Council 2014,2014,Chris Cate,Citizens for Fairness & Jobs Supporting Chris Cate for Council 2014,1365589,San Diego City Council District 6,Support
Coalition for Veterans Housing,2014,41: Veterans Housing and Homeless Prevention Act (Statewide),"Coalition for Veterans Housing - Yes on Prop. 41, Supported by John A. Perez, Housing and Veterans Organizations, Businesses and Labor Unions",1361700,,Support
Coalition of Coastal Communities for Lorie Zapf,2014,Lorie Zapf,Coalition of Coastal Communities for Lorie Zapf for Council 2014,1365567,San Diego City Council District 2,Support
Coalition of Coastal Communities for Lorie Zapf for Council 2014,2014,Lorie Zapf,Coalition of Coastal Communities for Lorie Zapf for Council 2014,1365567,San Diego City Council District 2,Support
"Committee for Working Families, sponsored by the California Labor Federation, AFL-CIO",2014,,"Committee for Working Families, sponsored by the California Labor Federation, AFL-CIO",980228,,
Committee to Elect Bruce Coons For Mayor 2013,2014,Bruce Coons,Committee to Elect Bruce Coons For Mayor 2013,1360852,San Diego Mayor,Support
"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",2014,B: Amends City Charter regarding retirement benefits,"Comprehensive Pension Reform for San Diego (CPR for San Diego)-Yes on B major funding by The Lincoln Club of San Diego Cnty and San Diegans for Pension Reform, advocates for responsible city finances.",1335733,,Support
Connie Leyva,2014,Connie Leyva,Connie Leyva,,CA Senate District 20,
Proposition 47 - Sentencing Reform,2014,47: Criminal Sentences. Misdemeanor Penalties. Initiative Statute. (Statewide),Criminal Sentences. Misdemeanor Penalties. Initiative Statute. (Statewide),,,
Dale Bardin,2014,Dale Bardin ,Dale Bardin ,,Palomar Health Board of Directors,
Dara Czerwonka,2014,Dara Czerwonka ,Dara Czerwonka ,,Palomar Health Board of Directors,
Dave Jones,2014,Dave Jones,Dave Jones,,CA Insurance Commissioner,
DAVID ALVAREZ,2014,David Alvarez,David Alvarez,,San Diego Mayor,
David Alvarez,2014,David Alvarez,David Alvarez,,San Diego City Council District 8,
David Alvarez,2014,David Alvarez,David Alvarez,,San Diego Mayor,
David Alvarez for Mayor 2013,2014,David Alvarez,David Alvarez for Mayor 2013,1360332,San Diego Mayor,Support
Doug Perkins,2014,Doug Perkins ,Doug Perkins ,,San Diego County Board of Education District 5,
Yes on E,2014,E: Adopt $182.1 Million in Bonds (Escondido Union School District),E: Adopt $182.1 Million in Bonds (Escondido Union School District),,,
Ed Spriggs,2014,Ed Spriggs ,Ed Spriggs ,,Imperial Beach City Council,
Eduardo Reyes,2014,Eduardo Reyes ,Eduardo Reyes ,,Chula Vista Elementary School District Board,
Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,2014,David Alvarez,Environmental Health and Justice Campaign Fund Working to Elect David Alvarez for Mayor 2013,1352009,San Diego Mayor,Support
Erubey Lopez,2014,Erubey Lopez,Erubey Lopez,,Vista City Council,
Families Working Toward Financial Freedom,2014,,Families Working Toward Financial Freedom,1366246,,
Faulconer for Mayor 2014,2014,Kevin Faulconer,Faulconer for Mayor 2014,1360150,San Diego Mayor,Support
Francisco Tamayo,2014,Francisco Tamayo ,Francisco Tamayo ,,Chula Vista Elementary School District Board,
Frank Gould,2014,Frank Gould ,Frank Gould ,,Tri-City Healthcare District Board,
Frank Tarantino,2014,Frank Tarantino ,Frank Tarantino ,,Sweetwater Union High School District Board Trustee Area 3,
Gene Chavira,2014,Gene Chavira ,Gene Chavira ,,South Bay Irrigation District Director Division 1,
Gloria Chadwick,2014,Gloria Chadwick ,Gloria Chadwick ,,Grossmont Healthcare District Board,
Griselda Delgado,2014,Griselda Delgado ,Griselda Delgado ,,Southwestern Community College District Governing Board Seat 1,
Hans Sison,2014,Hans Sison ,Hans Sison ,,Palomar Health Board of Directors,
"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",2014,I: Referendum of ordinance regarding earned sick leave and minimum wage,"Hard Working San Diegans for Earned Sick Days and Minimum Wage-No on I, A Coalition of Community Non-Profits, Employee Orgs, Local Busns, and Faith Based Orgs",1369785,,Oppose
INTIATIVE TO INCREASE MINIMUM WAGE,2014,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
San Diego Minimum Wage Ordinance,2014,I: Referendum of ordinance regarding earned sick leave and minimum wage,I: Referendum of ordinance regarding earned sick leave and minimum wage,,,
Jane Mitchell,2014,Jane Mitchell ,Jane Mitchell ,,Tri-City Healthcare District Board,
Jennifer Mendoza,2014,Jennifer Mendoza ,Jennifer Mendoza ,,Lemon Grove City Council,
JERRY BROWN,2014,Jerry Brown,Jerry Brown,,CA Governor,
Jim Morrison City Council D2/2014,2014,Jim Morrison,Jim Morrison City Council D2/2014,1366044,San Diego City Council District 2,Support
Jim Morrison for City Council,2014,Jim Morrison,Jim Morrison for City Council,1234153,San Diego City Council District 6,Support
Jimmy Gomez,2014,Jimmy Gomez,Jimmy Gomez,,CA Assembly District 51,
John Perez,2014,John Perez,John Perez,,CA Controller,
Josh Clorfeine,2014,Josh Clorfeine ,Josh Clorfeine ,,Del Mar Union School District Board Member,
Julie Graboi,2014,Julie Graboi ,Julie Graboi ,,Encinitas City Council,
Kamala Harris,2014,Kamala Harris,Kamala Harris,,CA Attorney General,
Katie Dexter,2014,Katie Dexter ,Katie Dexter ,,San Diego County Board of Education District 3,
Keep CA Strong,2014,,Keep CA Strong,1367706,,
Kemmer For Mayor 2013,2014,Michael Kemmer ,Kemmer For Mayor 2013,1361945,San Diego Mayor,Support
Ken Seaton,2014,Ken Seaton-Msemaji ,Ken Seaton-Msemaji ,,National City City Council,
KEN SEATON-MSEMAJI,2014,Ken Seaton-Msemaji ,Ken Seaton-Msemaji ,,National City City Council,
Ken Seaton-Msemaji,2014,Ken Seaton-Msemaji ,Ken Seaton-Msemaji ,,National City City Council,
Kersey for Council 2012,2014,Mark Kersey,Kersey for Council 2012,1338545,San Diego City Council District 5,Support
KEVIN BEISER,2014,Kevin Beiser,Kevin Beiser,,San Diego Unified School District Board District B,
Kevin Beiser,2014,Kevin Beiser,Kevin Beiser,,San Diego Community College Board of Trustees Area B,
Kevin Faulconer,2014,Kevin Faulconer,Kevin Faulconer,,San Diego Mayor,
Laborers LOCAL 89 PAC FUND,2014,,Laborers LOCAL 89 PAC FUND,1316497,,
Leslie Ray Bunker,2014,Leslie Ray Bunker ,Leslie Ray Bunker ,,Chula Vista Elementary School District Board,
Lincoln Club of San Diego County,2014,,Lincoln Club of SD County,831561/C00177766,,
The Lincoln Club of San Diego County,2014,,Lincoln Club of SD County,831561/C00177766,,
Lorena Gonzalez,2014,Lorena Gonzalez,Lorena Gonzalez,,CA Assembly District 80,
Lorie Zapf,2014,Lorie Zapf,Lorie Zapf,,San Diego City Council District 2,
Luciana Corrales,2014,Luciana Corrales ,Luciana Corrales ,,National School District Board,
Maria Betancourt-Castenada,2014,Maria Betancourt-Castenada ,Maria Betancourt-Castenada ,,National School District Board,
Maria Nieto Senour,2014,Maria Nieto Senour ,Maria Nieto Senour ,,San Diego Community College Board of Trustees Area A,
Mary Salas,2014,Mary Salas ,Mary Salas ,,Chula Vista Mayor,
Michelle O'Connor Ratcliff,2014,Michelle O'Connor Ratcliff ,Michelle O'Connor Ratcliff ,,Poway Unified School District Board,
Mitz Lee for City Council 2014,2014,Mitz Lee ,Mitz Lee for City Council 2014,1358131,San Diego City Council District 6,Support
Mona Alvarado-Rios,2014,Mona Alvarado-Rios,Mona Alvarado-Rios,,National City City Council,
Mona Rios,2014,Mona Alvarado-Rios,Mona Alvarado-Rios,,National City City Council,
Myrtle Cole For City Council 2014,2014,Myrtle Cole,Myrtle Cole For City Council 2014,1362102,San Diego City Council District 4,Support
Myrtle Cole Legal Defense Fund,2014,Myrtle Cole,Myrtle Cole Legal Defense Fund,1367605,,
Neighborhood Coalition Supporting Chris Cate for Council 2014,2014,Chris Cate,Neighborhood Coalition Supporting Chris Cate for Council 2014 sponsored by the Lincoln Club of San Diego County,1365587,San Diego City Council District 6,Support
Neighborhood Coalition Supporting Chris Cate for Council 2014 sponsored by the Lincoln Club of San Diego County,2014,Chris Cate,Neighborhood Coalition Supporting Chris Cate for Council 2014 sponsored by the Lincoln Club of San Diego County,1365587,San Diego City Council District 6,Support
Neighborhoods for Clean Elections,2014,,Neighborhoods for Clean Elections,1280768,,
Neighborhoods For Nathan Fletcher For Mayor 2013 Independent Expenditure,2014,Nathan Fletcher,Neighborhoods For Nathan Fletcher For Mayor 2013 Independent Expenditure,1361479,San Diego Mayor,Support
Neighbors United for a Better City Government Supporting Lorie Zapf for Council 2014 sponsored by the Lincoln Club of San Diego County,2014,Lorie Zapf,Neighbors United for a Better City Government Supporting Lorie Zapf for Council 2014 sponsored by the Lincoln Club of San Diego County,1365595,San Diego City Council District 2,Support
New Majority Matters,2014,David Alvarez,New Majority Matters Supporting Alvarez for Mayor 2013,1360628,San Diego Mayor,Support
New Majority Matters Supporting Alvarez for Mayor 2013,2014,David Alvarez,New Majority Matters Supporting Alvarez for Mayor 2013,1360628,San Diego Mayor,Support
Nick Segura,2014,Nick Segura ,Nick Segura ,,Sweetwater Union High School District Board Trustee Area 4,
No Committee City Attorney Jan Goldsmith,2014,Jan Goldsmith,No Committee City Attorney Jan Goldsmith,,,
No Committee Dist 2 Lorie Zapf,2014,Lorie Zapf,No Committee Dist 2 Lorie Zapf,,,
OLGA DIAZ,2014,Olga Diaz,Olga Diaz,,Escondido Mayor,
"Opportunity PAC - A coalition of teachers, health care givers, faculty members & other school & public employee associations",2014,,"Opportunity PAC - A Coalition of Teachers, Health Care Givers, Faculty Members, and Other School and Public Employee Associations",980020,,
Pat Aguilar,2014,Pat Aguilar ,Pat Aguilar ,,Chula Vista City Council District 2,
Paula Hall,2014,Paula Hall ,Paula Hall ,,Sweetwater Union High School District Board Trustee Area 5,
Peter Zschiesche,2014,Peter Zschiesche ,Peter Zschiesche ,,San Diego Community College Board of Trustees Area E,
Phil Thalheimer for City Council,2014,Phil Thalheimer ,Phil Thalheimer for City Council,1255438,San Diego City Council District 1,Support
"PowerPAC.org Voter Fund, A Sponsored Committee of PowerPAC.org",2014,,"PowerPAC.org Voter Fund, A Sponsored Committee of PowerPAC.org ",1285796,,
"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",2014,,"Protect Neighborhood Services Now, Sponsored by San Diego Municipal Employees Association",1326869,,
Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,2014,B: Referendum of a resolution related to Barrio Logan community plan update,Protect Our Jobs  No On B And C Port of SD Ship Repair Assn Major Funding By NASSCO and BAE Systems,1360951,,Oppose
Public Safety Advocates,2014,,Public Safety Advocates,1364679,,
Reelect David Alvarez 2014 for City Council District 8,2014,David Alvarez,Reelect David Alvarez 2014 for City Council District 8,1366059,San Diego City Council District 8,Support
Proposition 48 - Indian Gaming Compacts,2014,48: Referendum to Overturn Indian Gaming Compacts. (Statewide),Referendum to Overturn Indian Gaming Compacts. (Statewide),,,
Reform San Diego,2014,,Reform San Diego,1268914,,
Rena Marocco,2014,Rena Marocco ,Rena Marocco ,,Tri-City Healthcare District Board,
Republican Party of San Diego County,2014,,Republican Party of San Diego County,741949,,
Richard Shea,2014,Richard Shea ,Richard Shea ,,San Diego County Board of Education District 5,
Rick Cassar,2014,Rick Cassar ,Rick Cassar ,,MiraCosta College Board of Trustees,
Rising Majority,2014,,Rising Majority,1360628,,
Robert Brewer,2014,Robert Brewer,Robert Brewer,,San Diego County District Attorney,
Ron Morrison,2014,Ron Morrison,Ron Morrison,,National City Mayor,
"San Diegans for Honesty & Integrity, a Comm. to Defeat Lorie Zapf for Council 2014",2014,Lorie Zapf,"San Diegans for Honesty and Integrity, a Committee to Defeat Pay-to-Play Candidate Lorie Zapf for Council 2014, Sponsored by Employee Organizations",1366547,,Oppose
"San Diegans for Honesty & Integrity, a Comm. to Defeat Pay-to-Play Candidate Lori Zapf",2014,Lorie Zapf,"San Diegans for Honesty and Integrity, a Committee to Defeat Pay-to-Play Candidate Lorie Zapf for Council 2014, Sponsored by Employee Organizations",1366547,,Oppose
"San Diegans for Honesty and Integrity, a Committee to Defeat Pay-to-Play Candidate Lorie Zapf for Council 2014, Sponsored by Employee Organizations",2014,Lorie Zapf,"San Diegans for Honesty and Integrity, a Committee to Defeat Pay-to-Play Candidate Lorie Zapf for Council 2014, Sponsored by Employee Organizations",1366547,,Oppose
San Diegans in Support of Bob Filner for Mayor - 2012,2014,Bob Filner,San Diegans in Support of Bob Filner for Mayor - 2012,1348569,San Diego Mayor,Support
"San Diegans to Protect Jobs & the Economy, Supporting Kevin Faulconer for Mayor 2014",2014,Kevin Faulconer,"San Diegans to Protect Jobs & the Economy, Supporting Kevin Faulconer for Mayor 2014",1360473,San Diego Mayor,Support
"San Diego City Fire Fighters, Local 145 PAC",2014,,"San Diego City Fire Fighters, Local 145 PAC",76-1453,,
San Diego County Democratic Central Committee,2014,,San Diego County Democratic Central Committee,741906,,
San Diego Co. Democratic Party,2014,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY DEMOCRATIC PARTY,2014,,San Diego County Democratic Party,741906,,
San Diego County Democratic Party,2014,,San Diego County Democratic Party,741906,,
San Diego Democratic Party,2014,,San Diego County Democratic Party,741906,,
SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,2014,,SAN DIEGO COUNTY HOTEL-MOTEL ASSOCIATION ISSUE ADVOCACY PAC,99-1330,,
San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,2014,,San Diego Jobs Political Action Committee (SD Jobs PAC) sponsored by the Downtown San Diego Partnership,1335900,,
San Diego Police Officers Assn PAC,2014,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Police Officers Assn. Political Action Committee,2014,,San Diego Police Officers Assn. Political Action Committee,811267,,
San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),2014,,San Diego Regional Chamber of Commerce Political Action Committee (SD Chamber PAC),1335312,,
San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,2014,,San Diego Restaurant and Beverage Political Action Committee sponsored by California Restaurant Association,1258295,,
San Diego Small Business Coalition sponsored by the San Diego Regional Chamber of Commerce,2014,,San Diego Small Business Coalition sponsored by the San Diego Regional Chamber of Commerce,1368072,,
San Diego Unite,2014,,San Diego Unite,1373239,,
San Diego Works! Sponsored by San Diego and Imperial Counties Labor Council AFL-CIO,2014,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,2014,,San Diego Works! Sponsored by San Diego-Imperial Counties Labor Council AFL-CIO,744131,,
Sandra Fluke,2014,Sandra Fluke,Sandra Fluke,,CA Senate District 26,
Sandy Spackman for City Council,2014,Sandy Spackman ,Sandy Spackman for City Council,1354330,San Diego City Council District 4,Support
Sarah Boot for City Council 2014,2014,Sarah Boot ,Sarah Boot for City Council 2014,1359642,San Diego City Council District 2,Support
Scott Peters,2014,Scott Peters ,Scott Peters,,U.S. Representative District 52,
Serge Dedina,2014,Serge Dedina ,Serge Dedina ,,Imperial Beach Mayor,
Service Employees International Union Local 221 Independent Expenditure PAC,2014,,Service Employees International Union Local 221 Independent Expenditure PAC ,1298155,,
Sharon Quirk-Silva,2014,Sharon Quirk-Silva,Sharon Quirk-Silva,,CA Assembly District 65,
Sheila Cameron,2014,Sheila Cameron ,Sheila Cameron ,,Encinitas Mayor,
Shirley Weber,2014,Shirley Weber,Shirley Weber,,CA Assembly District 79,
"Teachers and Parents Putting Kids First in Support of Solis, Arancibia, Tarantino, Segura, Fall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC",2014,Adrian Arancibia ,"Solis, Arancibia, Tarantino, Segura, Hall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC; Teachers and Parents Putting Kids First in Support of",1371238,Sweetwater Union High School District Board Trustee Area 2,Support
"Teachers and Parents Putting Kids First in Support of Solis, Arancibia, Tarantino, Segura, Fall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC",2014,Arturo Solis ,"Solis, Arancibia, Tarantino, Segura, Hall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC; Teachers and Parents Putting Kids First in Support of",1371238,Sweetwater Union High School District Board Trustee Area 1,Support
"Teachers and Parents Putting Kids First in Support of Solis, Arancibia, Tarantino, Segura, Fall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC",2014,Frank Tarantino ,"Solis, Arancibia, Tarantino, Segura, Hall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC; Teachers and Parents Putting Kids First in Support of",1371238,Sweetwater Union High School District Board Trustee Area 3,Support
"Teachers and Parents Putting Kids First in Support of Solis, Arancibia, Tarantino, Segura, Fall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC",2014,Nick Segura ,"Solis, Arancibia, Tarantino, Segura, Hall for School Board of Trustees 2014, Sponsored and Major Funding by Sweetwater Education Association PAC; Teachers and Parents Putting Kids First in Support of",1371238,Sweetwater Union High School District Board Trustee Area 4,Support
"Working Families for Solorio Senate 2014, Sponsored by Labor and Public Safety Organizations",2014,Jose Solorio,"Solorio Senate 2014 Sponsored by Labor and Public Safety Organizations, Working Families For",1371377,CA Senate District 34,Support
State Affiliated Cops PAC (SAC-PAC),2014,,State Affiliated Cops Political Action Committee (SAC PAC),1235097,,
Steve Padilla,2014,Steve Padilla ,Steve Padilla ,,Chula Vista City Council,
"Stop the Jobs Killing Tax, a Coalition of Jobs Creators, Economic Development, Business and Real Estate Organizations Concerned About the San Diego Economy",2014,,"Stop the Jobs Killing Tax, a Coalition of Jobs Creators, Economic Development, Business and Real Estate Organizations Concerned About the San Diego Economy",1362423,,
The Infrastructure PAC of the Associated General Contractors,2014,,The Infrastructure PAC of the Associated General Contractors,94-0906,,
TJ Zane,2014,TJ Zane,TJ Zane,,Poway Unified School District Board,
Todd Gloria for City COuncil 2012,2014,Todd Gloria,Todd Gloria for City Council 2012,1339121,San Diego City Council District 3,Support
Tom Torlakson,2014,Tom Torlakson ,Tom Torlakson ,,CA Superintendent of Public Instruction,
Toni Atkins,2014,Toni Atkins,Toni Atkins,,CA Assembly District 78,
"Torlakson for Superintendent of Public Instruction 2014, with major funding by the CA Teachers Assn. IE Committee",2014,Tom Torlakson,Torlakson for Superintendent of Public Instruction 2014 with Major Funding by The California Teachers Association Independent Expenditure Committee,1364714,CA Superintendent of Public Instruction,Support
United Food and Commercial Workers Union Local 135 PAC,2014,,United Food and Commercial Workers Union Local 135 PAC,1252582,,
United Food and Commercial Workers Western States Council Independent Expenditure PAC,2014,,United Food and Commercial Workers Western States Council Independent Expenditure PAC,1362802,,
Proposition 1 - Water Bond,2014,"1: Water Bond. Funding for Water Quality, Supply, Treatment, and Storage Projects (Statewide)","Water Bond. Funding for Water Quality, Supply, Treatment, and Storage Projects (Statewide)",,,
Western Electrical Contractors Association  Inc. Good Government Political Action Committee,2014,,"Western Electrical Contractors Assoc., Inc. Good Govt. PAC",991225,,
Working Families & Environmentalists for a Better Sonoma County Opposing James Gore for Supervisor 2014,2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
Working Families for a Better San Diego in Support of David Alvarez for Mayor,2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
Working Families for a Better San Diego to Support David Alvarez for Mayor 2014,2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
"Working Families for A Better San Diego To Support David Alvarez for Mayor 2014,",2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
Working Families for A Better San Diego to Support David Alvarez Sponsored by San Diego and Imperial Counties Labor Council AFL-CIO,2014,David Alvarez,"Working Families for A Better San Diego to Support David Alvarez for Mayor 2014, Sponsored by the San Diego & Imperial Counties Labor Council, AFL-CIO",1360499,San Diego Mayor,Support
"Working Together for Neighborhood Fairness, in opposition to David Alvarez for Mayor 2014, sponsored by the Lincoln Club of San Diego County",2014,David Alvarez,"Working Together for Neighborhood Fairness, in opposition to David Alvarez for Mayor 2014, sponsored by the Lincoln Club of San Diego County",1362467,,Oppose
Yes On B & C - Barrio Logan Community Plan,2014,B: Referendum of a resolution related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",2014,B: Referendum of a resolution related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
Yes On B & C - Barrio Logan Community Plan,2014,C: Referendum of ordinances related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",2014,C: Referendum of ordinances related to Barrio Logan community plan update,"Yes On B AND C, Barrio Logan Community Plan, Sponsored By Social Justice Organizations",1365118,,Support
"Chula Vista Voters Against Corruption, Opposing John McCann for City Council 2014",2014,,,,,
The Public Safety Coalition PAC,2014,,,,,
American Federation of State County & Municipal Employees-CA People (AFSCME CA People) Independent Expenditure Committee,2015,,American Federation of State County & Municipal Employees-CA People (AFSCME CA People) Independent Expenditure Committee,1270707,,
Angelique Ashby,2015,Angelique Ashby,Angelique Ashby,,Sacramento Mayor,
Anthony Bernal for City Council 2016,2015,Anthony Bernal,Anthony Bernal for City Council 2016,1376415,San Diego City Council District 3,Support
Araceli Martinez for San Diego City Council District 9 2016,2015,Araceli Martinez ,Araceli Martinez for San Diego City Council District 9 2016,1378462,San Diego City Council District 9,Support
Asian American Small Business PAC,2015,,Asian American Small Business PAC,1276929,,
Barbara Bry for City Council District 1 2016,2015,Barbara Bry,Barbara Bry for City Council District 1 2016,1377265,San Diego City Council District 1,Support
Bill Baber,2015,Bill Baber,Bill Baber,,La Mesa City Council,
Blanca Lopez Brown for City Council 2014,2015,Blanca Lopez Brown,Blanca Lopez Brown for City Council 2014,1366106,San Diego City Council District 1,Support
Bruce Williams for San Diego City Council 2014,2015,Bruce Williams,Bruce Williams for San Diego City Council 2014,1365113,San Diego City Council District 4,Support
Cabrera for City Attorney 2016,2015,Gil Cabrera,Cabrera for City Attorney 2016,1374483,San Diego City Attorney,Support
California Voter Project,2015,,California Voter Project,1363108,,
California Young Democrats,2015,,California Young Democrats PAC,810710,,
Cate for Council 2014,2015,Chris Cate,Cate for Council 2014,1356881,San Diego City Council District 6,Support
Chris Ward for City Council 2016,2015,Chris Ward ,Chris Ward for City Council 2016,1360787,San Diego City Council District 3,Support
Citizens For A Business-Friendly San Diego (Kilroy Realty LP),2015,,Citizens For A Business-Friendly San Diego (Kilroy Realty LP),1374330,,
Citizens for the Responsible Mgmt of Major Tourism and Entertainment Resources-Yes on D Support by East Village property owners w/ major funding from Ballpark Village LLC & Cory Briggs/Briggs Law Corp,2015,D: Facilities and Tourism Tax Initiative,Citizens for the Responsible Mgmt of Major Tourism and Entertainment Resources-Yes on D Support by East Village property owners w/ major funding from Ballpark Village LLC & Cory Briggs/Briggs Law Corp,1380972,,Support
